N	p	P_fail
167	16	0
82	70	0.1
171	8	0
110	6	0
52	54	0.166667
53	50	0.233333
176	41	0.0333333
193	51	0
108	85	0.133333
180	45	0
124	94	0.0666667
152	41	0
166	44	0.0333333
72	30	0.0333333
97	29	0
126	40	0
117	25	0
107	40	0.0333333
50	47	0.166667
198	71	0.0666667
113	27	0.0333333
150	67	0.1
182	66	0.1
90	27	0.0666667
81	61	0.0666667
63	68	0.233333
138	83	0.0333333
159	88	0.0666667
82	43	0.1
115	49	0.0666667
61	8	0
142	83	0.133333
51	34	0.133333
141	76	0.1
175	8	0
159	6	0
136	68	0.0333333
93	72	0.133333
149	27	0
153	66	0.1
170	15	0
91	69	0.2
95	6	0
59	31	0.1
184	11	0
163	54	0.0333333
159	58	0
137	60	0.1
64	68	0.1
166	28	0.0333333
134	24	0
151	68	0.133333
166	60	0.0333333
157	29	0
56	66	0.233333
87	46	0.1
125	47	0.0333333
113	98	0.1
165	16	0
67	65	0.166667
70	44	0.0666667
65	32	0.0666667
120	30	0.0333333
182	61	0
91	33	0.1
80	78	0.133333
129	63	0.1
92	57	0.0333333
140	50	0.0333333
55	55	0.2
85	100	0.0333333
93	41	0.0666667
162	86	0.133333
175	73	0
109	64	0.133333
162	45	0.0333333
168	33	0
140	83	0.1
175	20	0
157	18	0
177	44	0.0666667
158	60	0.0666667
123	82	0.1
189	97	0.0666667
190	74	0.0666667
149	19	0
190	62	0.0666667
196	93	0.0666667
153	39	0
87	85	0.233333
63	84	0.2
65	69	0.233333
58	32	0.1
62	40	0
77	95	0.266667
169	72	0.1
114	35	0.0333333
92	71	0.133333
124	79	0.166667
104	75	0.1
171	42	0
96	7	0
101	57	0.0333333
89	23	0.0666667
120	19	0
138	19	0.0333333
145	74	0
107	24	0.0666667
144	96	0.0666667
158	59	0.0333333
74	25	0
132	18	0
199	93	0.0333333
197	54	0.0333333
93	79	0.233333
158	9	0
167	32	0.0666667
146	6	0
67	68	0.133333
166	23	0
168	11	0
134	38	0.0333333
88	62	0.0666667
160	64	0.0666667
190	75	0.1
140	87	0.133333
115	61	0.1
63	86	0.2
80	61	0
160	43	0.1
78	75	0.2
191	17	0
73	45	0.0666667
98	90	0.166667
197	88	0.0666667
79	64	0.1
182	56	0.0666667
114	81	0
52	96	0.266667
162	69	0.166667
140	70	0.0666667
143	70	0
157	65	0.0666667
63	12	0
157	47	0.0333333
159	99	0.133333
104	93	0.166667
166	28	0
70	36	0.2
177	29	0.0666667
163	41	0.0666667
194	12	0
80	92	0.0666667
172	73	0.0666667
159	61	0
100	73	0.0333333
138	20	0
123	7	0
171	13	0
68	46	0.2
101	54	0.1
99	81	0.1
59	68	0.233333
64	42	0.133333
96	73	0.133333
62	9	0
62	52	0.166667
82	22	0.0666667
193	14	0
168	11	0
175	22	0
85	9	0
127	5	0
164	100	0.0333333
59	83	0.2
148	90	0.0666667
103	11	0
162	68	0
90	95	0.0666667
56	49	0.166667
89	37	0.0666667
155	16	0
104	27	0.0666667
54	26	0.0333333
115	78	0.133333
190	10	0
186	62	0
180	34	0
141	58	0.1
193	73	0
111	28	0.0666667
168	41	0
116	68	0.0666667
176	45	0.0666667
118	8	0
125	57	0
181	85	0.0333333
96	9	0
179	88	0.1
171	60	0
123	64	0.133333
98	59	0.1
111	25	0
106	62	0.0666667
109	49	0.0666667
200	11	0
119	36	0.0333333
67	14	0
55	47	0.0666667
165	76	0.0333333
149	8	0
91	92	0.166667
191	22	0
60	89	0.1
146	19	0
93	7	0
150	67	0.166667
70	68	0.233333
120	7	0
92	59	0.0333333
117	22	0.0333333
111	46	0.1
195	12	0
102	86	0.2
145	35	0
160	50	0
96	14	0
155	76	0.0666667
85	33	0.0333333
52	90	0.233333
129	14	0
86	21	0
77	5	0
154	70	0.1
73	89	0.133333
50	59	0.2
148	9	0
134	15	0
94	63	0.1
119	85	0.233333
106	17	0
68	29	0
187	14	0
195	5	0
111	92	0.266667
72	37	0.0666667
174	67	0.0666667
168	21	0
186	43	0.1
90	29	0.0666667
192	99	0.133333
125	5	0
89	89	0.2
180	12	0
124	69	0.133333
190	27	0
54	62	0.0666667
135	37	0.0666667
85	17	0.0333333
160	55	0
98	18	0.0333333
90	32	0.0666667
163	70	0.133333
173	84	0.0666667
95	59	0.133333
72	22	0.0666667
181	71	0.0333333
101	68	0.0666667
74	5	0
114	77	0.1
63	30	0.0666667
173	32	0
167	59	0.0333333
116	90	0.1
154	95	0.133333
71	17	0
85	39	0
140	22	0
104	13	0
161	31	0
107	94	0.166667
118	99	0.2
146	91	0.133333
192	74	0
187	47	0.0666667
127	59	0.0333333
196	18	0
123	6	0
169	68	0.0333333
149	46	0
195	75	0.1
75	8	0
175	27	0
86	13	0
100	58	0.1
150	81	0.0666667
159	29	0
100	22	0
58	66	0.233333
189	86	0.0333333
56	66	0.1
54	29	0.133333
76	21	0
149	67	0.0333333
125	71	0.0666667
100	9	0
68	42	0.0333333
184	26	0
176	78	0.1
63	73	0.1
162	37	0
143	89	0.1
148	73	0.0666667
100	15	0
92	15	0
125	64	0.1
80	24	0
58	54	0.0333333
108	18	0
120	63	0.0333333
170	38	0.0333333
151	48	0.0666667
126	38	0.1
144	67	0.0666667
146	24	0
157	75	0
108	98	0.2
163	63	0.0333333
143	25	0
128	23	0
179	6	0
138	66	0.0666667
52	24	0.133333
153	48	0.0666667
163	76	0.1
190	48	0
69	80	0.166667
58	20	0.0666667
153	49	0.0333333
168	62	0.0333333
104	43	0
123	24	0
92	95	0.133333
118	98	0.2
196	67	0.0666667
169	51	0.0333333
174	13	0
85	29	0.0666667
79	73	0.166667
88	74	0.3
106	61	0.166667
64	21	0.0333333
187	50	0.0333333
192	13	0
109	63	0.0333333
139	77	0.1
89	27	0.0666667
65	85	0.133333
180	25	0
122	35	0
51	62	0.233333
139	42	0
196	16	0
107	20	0.0333333
89	92	0.1
177	51	0.0666667
60	11	0
70	9	0
180	64	0
98	66	0.1
139	87	0.0666667
53	26	0.0333333
160	26	0
114	77	0.0333333
133	89	0.166667
97	5	0
137	89	0.0333333
160	22	0
72	82	0.233333
159	57	0.0666667
170	70	0.0333333
86	28	0.133333
131	49	0.0333333
166	74	0.0333333
55	57	0.133333
114	44	0.0666667
135	71	0.133333
103	40	0.0333333
63	95	0.133333
118	30	0.0333333
63	27	0.0666667
117	51	0.0333333
93	10	0
147	13	0
195	68	0.0333333
94	94	0.1
184	91	0.0333333
50	66	0.3
110	11	0
133	66	0.133333
152	43	0
119	9	0
179	50	0
147	79	0.1
70	85	0.166667
151	30	0
87	73	0.133333
175	97	0.133333
91	57	0.1
193	26	0
88	51	0.1
89	75	0.166667
133	37	0.0666667
64	76	0.233333
164	85	0.0333333
188	63	0
159	37	0.0333333
112	7	0
102	63	0
193	5	0
110	94	0.0666667
180	33	0.0333333
141	92	0.0333333
195	17	0
173	52	0.0666667
179	50	0.0333333
142	33	0.0333333
102	72	0.266667
104	25	0
115	89	0.1
125	42	0
110	58	0.0333333
92	33	0
75	22	0.0333333
190	49	0.0333333
186	82	0
177	79	0
52	76	0.133333
75	14	0
182	88	0.1
158	67	0.0666667
60	53	0.1
166	20	0
73	68	0.233333
95	99	0.233333
86	48	0.1
54	74	0.233333
147	11	0
101	21	0.0333333
110	70	0.133333
172	79	0.1
109	97	0.0666667
110	38	0
134	72	0.0333333
108	75	0.0666667
69	24	0
181	42	0
168	91	0
141	88	0.133333
149	94	0.166667
145	96	0.133333
156	18	0
121	97	0.133333
186	43	0
176	63	0.0666667
94	42	0.0666667
118	11	0
92	15	0
69	58	0.1
149	43	0
155	11	0
116	71	0.133333
70	34	0.0666667
97	79	0.166667
82	55	0.0666667
86	94	0.133333
166	54	0.0666667
183	16	0
200	89	0.0333333
178	24	0
93	63	0.1
88	23	0.0666667
186	8	0
116	48	0.133333
159	95	0.0666667
171	14	0
63	82	0.233333
120	53	0.0333333
154	44	0.0333333
72	21	0.0333333
133	75	0.0333333
139	36	0
127	58	0.133333
113	94	0.1
183	13	0
148	80	0
122	63	0.1
138	73	0.0333333
84	13	0.0333333
111	55	0.0666667
150	45	0.1
90	64	0.1
99	71	0.133333
166	77	0.0666667
60	19	0.133333
126	80	0.0333333
152	79	0.1
136	43	0.0333333
142	57	0
160	40	0
174	78	0.0333333
83	90	0.166667
65	75	0.0666667
89	13	0
86	28	0.0333333
101	23	0.0333333
90	77	0.2
100	6	0
150	85	0.166667
95	72	0.1
192	9	0
58	50	0.1
196	87	0.0666667
63	5	0
91	55	0.0333333
64	26	0.0666667
186	69	0.133333
88	43	0
94	38	0.1
62	89	0.166667
76	58	0.1
128	36	0
182	72	0.0333333
79	47	0.0666667
113	47	0.0666667
150	74	0.1
100	59	0.0666667
144	48	0.0333333
167	68	0.0333333
116	61	0.0666667
148	46	0
131	79	0.0666667
85	47	0.133333
86	40	0.1
63	11	0
136	55	0.0333333
135	60	0.0666667
160	31	0
51	63	0.166667
65	14	0.0666667
148	38	0
147	36	0
198	96	0.0666667
189	34	0
152	100	0.0333333
127	42	0.0333333
102	6	0
127	69	0.0333333
199	8	0
128	47	0
58	84	0.233333
119	14	0
82	23	0
184	15	0
67	44	0.1
135	56	0.133333
82	65	0.0333333
133	50	0.0666667
150	9	0
134	47	0.0333333
145	33	0
70	99	0.266667
106	86	0.133333
195	37	0.0666667
108	80	0.0333333
57	50	0.2
200	63	0.0666667
94	33	0.0333333
190	64	0
185	62	0.0333333
197	66	0.0666667
117	63	0
119	57	0.1
140	15	0
96	11	0
62	9	0.0333333
112	10	0
145	39	0
185	78	0.0333333
115	18	0.0333333
108	48	0.0333333
179	60	0.0333333
133	84	0.133333
78	26	0
99	7	0
127	8	0
76	25	0.0333333
50	20	0.0666667
160	54	0
184	64	0.0333333
122	54	0.1
85	95	0.1
112	13	0
81	27	0.0333333
89	25	0
111	60	0.1
82	28	0.1
194	79	0
74	54	0.1
59	10	0
88	37	0.1
63	11	0
116	11	0
132	86	0.0666667
199	76	0.1
92	71	0.233333
197	89	0.0333333
121	50	0
195	81	0.0666667
166	76	0.133333
68	93	0.266667
179	80	0.0666667
103	77	0.166667
111	64	0.166667
50	8	0
123	11	0
66	20	0.0333333
136	25	0
123	42	0.0666667
120	90	0.2
93	57	0.0666667
66	30	0.1
84	31	0.0333333
182	36	0
172	6	0
197	71	0
195	70	0.0333333
162	58	0.0666667
153	30	0.0333333
55	47	0.233333
178	14	0
105	46	0.0333333
140	51	0.0333333
160	28	0
188	58	0.0333333
123	6	0
191	59	0.0666667
70	86	0.0666667
138	32	0
70	47	0.133333
69	99	0.0333333
83	53	0.1
53	44	0.166667
134	50	0
112	74	0.166667
164	83	0.133333
177	46	0.0333333
117	26	0.0333333
99	44	0.1
92	31	0.0666667
187	13	0
80	91	0.166667
142	89	0.0333333
126	16	0
161	28	0
160	45	0.0333333
136	58	0.1
143	83	0.0666667
155	68	0.0333333
94	83	0.1
109	30	0.0333333
86	93	0.166667
167	26	0
164	36	0
191	83	0.0666667
55	80	0.133333
177	78	0.0333333
164	44	0
54	24	0
149	49	0.0666667
131	87	0.166667
79	19	0.0666667
59	87	0.1
195	29	0
94	43	0.0666667
120	18	0
79	12	0
112	84	0.1
85	66	0.233333
102	85	0.1
73	12	0
108	51	0
89	29	0.0333333
171	79	0.0333333
99	69	0.133333
55	55	0.166667
151	17	0
102	37	0.0333333
124	49	0.0333333
109	63	0.166667
76	85	0.1
121	65	0.1
97	37	0.133333
70	33	0.0666667
191	82	0.0333333
149	94	0.0666667
94	29	0.1
121	56	0.0666667
74	35	0.1
150	74	0.1
50	60	0.233333
114	92	0.233333
127	45	0.1
61	52	0.1
197	80	0.0666667
124	47	0
90	30	0
131	28	0.0333333
163	83	0.133333
107	83	0.1
65	19	0.0333333
114	76	0.166667
56	52	0.133333
163	62	0.0666667
125	86	0.0333333
84	37	0
90	42	0.133333
183	55	0.0333333
168	8	0
118	62	0.0666667
110	62	0.133333
155	62	0.0666667
184	22	0
142	82	0.166667
134	27	0
56	12	0
128	67	0.0666667
132	35	0
73	81	0.166667
71	83	0.166667
65	63	0.1
86	16	0
114	48	0.133333
153	23	0.1
142	90	0.1
149	26	0
159	20	0
76	43	0.133333
186	61	0.0333333
153	80	0.1
107	50	0.1
97	19	0
139	30	0.0333333
70	45	0.133333
91	21	0
158	10	0
180	19	0
171	44	0
64	35	0.0333333
198	37	0
79	17	0
121	38	0.0333333
54	54	0.2
134	44	0
156	57	0.0333333
50	18	0.0666667
198	70	0.0333333
73	33	0.0666667
161	9	0
144	80	0.0666667
174	87	0.0333333
93	48	0.1
80	76	0.2
78	62	0.166667
129	53	0
168	58	0.0666667
89	99	0.1
113	77	0.233333
103	45	0
59	38	0.0666667
77	70	0.1
190	22	0
117	74	0.0666667
171	10	0
157	74	0.1
91	37	0.0333333
121	53	0.1
96	46	0.1
72	66	0.0333333
129	66	0.133333
136	75	0
64	44	0.0666667
126	11	0
